state,permit,handgun,long_gun,other,year
New Hampshire,3719.0,4262.0,2645.0,137.0,2016
New Jersey,0.0,6542.0,3027.0,201.0,2016
New Mexico,1666.0,4485.0,3269.0,327.0,2016
New York,4053.0,10118.0,10815.0,684.0,2016
North Carolina,25228.0,1119.0,8506.0,518.0,2016
North Dakota,1319.0,1186.0,1798.0,85.0,2016
Ohio,14797.0,26069.0,13219.0,1435.0,2016
Oklahoma,0.0,10385.0,6490.0,779.0,2016
Oregon,28.0,12038.0,9194.0,0.0,2016
Pennsylvania,20806.0,39963.0,8770.0,23.0,2016
Puerto Rico,0.0,991.0,166.0,24.0,2016
Rhode Island,0.0,936.0,536.0,28.0,2016
South Carolina,11329.0,7570.0,3922.0,363.0,2016
South Dakota,922.0,2161.0,2666.0,191.0,2016
Tennessee,2564.0,19232.0,10394.0,0.0,2016
Texas,25496.0,39446.0,25424.0,2559.0,2016
Utah,16748.0,3097.0,3067.0,235.0,2016
Vermont,0.0,1096.0,1026.0,62.0,2016
Virgin Islands,84.0,26.0,2.0,0.0,2016
Virginia,943.0,18183.0,10896.0,758.0,2016
Washington,12459.0,14601.0,9033.0,1334.0,2016
West Virginia,1939.0,6099.0,4179.0,232.0,2016
Wisconsin,6549.0,11438.0,8481.0,562.0,2016
Wyoming,868.0,1497.0,1671.0,97.0,2016
Alabama,20959.0,9742.0,6977.0,320.0,2016
Alaska,298.0,3036.0,2777.0,178.0,2016
Arizona,7230.0,13086.0,7278.0,885.0,2016
Arkansas,5825.0,5334.0,4513.0,193.0,2016
California,93023.0,41862.0,30133.0,5247.0,2016
Colorado,8900.0,17897.0,12560.0,1048.0,2016
Connecticut,16609.0,11882.0,3936.0,229.0,2016
Delaware,848.0,1878.0,1313.0,72.0,2016
District of Columbia,11.0,55.0,3.0,0.0,2016
Florida,27570.0,48697.0,19716.0,2788.0,2016
Georgia,16847.0,13673.0,6764.0,385.0,2016
Guam,0.0,100.0,45.0,8.0,2016
Hawaii,1452.0,0.0,0.0,0.0,2016
Idaho,2400.0,3376.0,3720.0,179.0,2016
Illinois,117410.0,24894.0,11132.0,0.0,2016
Indiana,91355.0,20756.0,12137.0,1079.0,2016
Iowa,12650.0,184.0,2453.0,27.0,2016
Kansas,1392.0,5785.0,4540.0,333.0,2016
Kentucky,285372.0,9657.0,7070.0,223.0,2016
Louisiana,2192.0,11703.0,6552.0,685.0,2016
Maine,656.0,3970.0,3254.0,184.0,2016
Mariana Islands,0.0,0.0,0.0,0.0,2016
Maryland,3361.0,4294.0,4966.0,145.0,2016
Massachusetts,7414.0,6227.0,3009.0,594.0,2016
Michigan,24885.0,13598.0,8647.0,445.0,2016
Minnesota,30337.0,12547.0,12295.0,809.0,2016
Mississippi,1416.0,8765.0,4139.0,263.0,2016
Missouri,12050.0,19787.0,12754.0,970.0,2016
Montana,1771.0,2989.0,4388.0,133.0,2016
Nebraska,4353.0,116.0,1650.0,18.0,2016
Nevada,2958.0,5135.0,2793.0,223.0,2016
New Hampshire,3602.0,5337.0,3400.0,139.0,2016
New Jersey,0.0,6887.0,3331.0,247.0,2016
New Mexico,1619.0,5311.0,3967.0,294.0,2016
New York,4181.0,11281.0,14660.0,881.0,2016
North Carolina,27505.0,1250.0,10280.0,607.0,2016
North Dakota,765.0,2083.0,2791.0,89.0,2016
Ohio,16083.0,32959.0,17664.0,1618.0,2016
Oklahoma,0.0,13132.0,8302.0,915.0,2016
Oregon,24.0,13102.0,9998.0,0.0,2016
Pennsylvania,24297.0,51472.0,11628.0,15.0,2016
Puerto Rico,0.0,947.0,202.0,17.0,2016
Rhode Island,0.0,1149.0,746.0,35.0,2016
South Carolina,14347.0,9617.0,4618.0,391.0,2016
South Dakota,1114.0,2981.0,3412.0,218.0,2016
Tennessee,4151.0,22965.0,12049.0,0.0,2016
Texas,38061.0,45339.0,27823.0,2775.0,2016
Utah,22419.0,3560.0,3646.0,230.0,2016
Vermont,0.0,1483.0,1557.0,90.0,2016
Virgin Islands,59.0,23.0,3.0,0.0,2016
Virginia,415.0,21709.0,13235.0,851.0,2016
Washington,34121.0,15988.0,9698.0,1415.0,2016
West Virginia,2323.0,6908.0,5417.0,249.0,2016
Wisconsin,8256.0,15693.0,13348.0,673.0,2016
Wyoming,785.0,1764.0,1952.0,104.0,2016
Alabama,27829.0,14372.0,9115.0,383.0,2016
Alaska,256.0,3171.0,2750.0,209.0,2016
Arizona,8078.0,14387.0,7907.0,883.0,2016
Arkansas,7649.0,7603.0,5448.0,219.0,2016
California,117206.0,45266.0,31454.0,6007.0,2016
Colorado,11129.0,20049.0,12776.0,1069.0,2016
Connecticut,16727.0,13996.0,4388.0,198.0,2016
Delaware,690.0,2353.0,1611.0,83.0,2016
